name,fips,mi2
"Kalawao, HI",15005,52.33
"Bannock, ID",16005,1147.5
"Bond, IL",17005,382.67
"Livingston, IL",17105,1045.49
"Bartholomew, IN",18005,409.38
"Monroe, IN",18105,411.34
"Allamakee, IA",19005,658.75
"Jones, IA",19105,576.74
"Atchison, KS",20005,435.06
"Lincoln, KS",20105,719.97
"Wilson, KS",20205,575.04
"Anderson, KY",21005,204.3
"Hickman, KY",21105,252.95
"Rowan, KY",21205,286.27
"Ascension, LA",22005,302.91
"Tangipahoa, LA",22105,823.19
"Cumberland, ME",23005,1217.01
"Baltimore, MD",24005,682.08
"Bristol, MA",25005,691.26
"Allegan, MI",26005,1833.51
"Mason, MI",26105,1241.98
"Becker, MN",27005,1445.17
"Nobles, MN",27105,722.36
"Amite, MS",28005,731.7
"Oktibbeha, MS",28105,461.94
"Atchison, MO",29005,547.39
"Laclede, MO",29105,768.03
"Shelby, MO",29205,502.45
"Blaine, MT",30005,4238.98
"Valley, MT",30105,5062.08
"Arthur, NE",31005,718.36
"Kimball, NE",31105,952.38
"Douglas, NV",32005,737.67
"Cheshire, NH",33005,729.21
"Burlington, NJ",34005,819.48
"Chaves, NM",35005,6075.6
"Bronx, NY",36005,57.42
"Sullivan, NY",36105,996.93
"Alleghany, NC",37005,235.52
"Lee, NC",37105,259.36
"Benson, ND",38005,1439.39
"Williams, ND",38105,2148.08
"Ashland, OH",39005,426.86
"Meigs, OH",39105,432.41
"Atoka, OK",40005,990.05
"Nowata, OK",40105,580.93
"Clackamas, OR",41005,1879.13
"Armstrong, PA",42005,664.48
"Potter, PA",42105,1081.47
"Newport, RI",44005,313.65
"Allendale, SC",45005,412.59
"Beadle, SD",46005,1264.93
"Perkins, SD",46105,2890.85
"Benton, TN",47005,436.23
"Loudon, TN",47105,247.04
"Angelina, TX",48005,864.51
"Crockett, TX",48105,2807.66
"Hartley, TX",48205,1463.3
"Lynn, TX",48305,893.5
"San Augustine, TX",48405,592.25
"Zapata, TX",48505,1058.18
"Cache, UT",49005,1173.17
"Caledonia, VT",50005,657.74
"Alleghany, VA",51005,446.93
"Lee, VA",51105,437.34
"Benton, WA",53005,1760.19
"Boone, WV",54005,503.22
"Wirt, WV",54105,234.85
"Barron, WI",55005,890.08
"Rock, WI",55105,726.26
"Campbell, WY",56005,4801.69
"Cibola, NM",35006,4542.07
"Bibb, AL",1007,625.5
"Pickens, AL",1107,890.1
"Gila, AZ",4007,4796.14
"Benton, AR",5007,876.82
"Phillips, AR",5107,727.34
"Butte, CA",6007,1677.22
"Tulare, CA",6107,4839.41
"Archuleta, CO",8007,1354.65
"Routt, CO",8107,2368.19
"Middlesex, CT",9007,439.07
"Bradford, FL",12007,300.06
"Putnam, FL",12107,827.22
"Baker, GA",13007,349.19
"Emanuel, GA",13107,690.4
"Monroe, GA",13207,397.83
"Webster, GA",13307,210.27
"Kauai, HI",15007,1266.45
"Bear Lake, ID",16007,1049.49
"Boone, IL",17007,281.96
"Logan, IL",17107,619.04
"Benton, IN",18007,406.42
"Montgomery, IN",18107,505.39
"Appanoose, IA",19007,516.39
"Keokuk, IA",19107,579.99
"Barber, KS",20007,1136.27
"Linn, KS",20107,606.35
"Woodson, KS",20207,505.5
"Ballard, KY",21007,273.62
"Hopkins, KY",21107,554.25
"Russell, KY",21207,282.84
"Assumption, LA",22007,364.59
"Tensas, LA",22107,641.25
"Franklin, ME",23007,1744.46
"Dukes, MA",25007,491
"Alpena, MI",26007,1695.05
"Mecosta, MI",26107,571.14
"Beltrami, MN",27007,3055.7
"Norman, MN",27107,876.85
"Attala, MS",28007,737.15
"Panola, MS",28107,705.19
"Audrain, MO",29007,696.83
"Lafayette, MO",29107,638.9
"Stoddard, MO",29207,828.99
"Broadwater, MT",30007,1238.94
"Wheatland, MT",30107,1428.37
"Banner, NE",31007,746.43
"Knox, NE",31107,1139.75
"Elko, NV",32007,17204.04
"Coos, NH",33007,1831.72
